学校名,回数区分
愛光,（首都圏）
青山学院,1
青山学院浦和ルーテル学院,1
青山学院浦和ルーテル学院,（２回）
青山学院横浜英和,（Ａ）
青山学院横浜英和,（Ｂ）
青山学院横浜英和,（Ｃ）
浅野,1
朝日塾,（特色評価型・東京）
麻布,1
足立学園,（志）
足立学園,1
足立学園,（２回）
足立学園,（３回）
足立学園,（４回）
足立学園,（特別奨学生１回）
足立学園,（特別奨学生２回）
足立学園,（特別奨学生３回）
足立学園,（特別奨学生４回）
足立学園,（特別奨学生５回）
ｱﾚｾｲｱ湘南,（１回午前）
ｱﾚｾｲｱ湘南,（１回午後）
ｱﾚｾｲｱ湘南,（２回午前）
ｱﾚｾｲｱ湘南,（２回午後）
ｱﾚｾｲｱ湘南,（３回午前）
ｱﾚｾｲｱ湘南,（３回午後）
ｱﾚｾｲｱ湘南,（特待生）
ｱﾚｾｲｱ湘南,（グローバル）
郁文館,（総合）
郁文館,（ｉＰ選抜）
郁文館,（２回総合）
郁文館,（３回総合）
郁文館,（２回ｉＰ選抜）
郁文館,（４回総合）
郁文館,（５回総合）
郁文館,（ＧＬ特進）
郁文館,（未来力）
郁文館,（適性検査型）
郁文館,（２回適性検査型）
郁文館,（適性検査型ｉＰ選抜）
市川,1
市川,（２回）
市川,（１月帰国）
茨城,（専願）
茨城,1
茨城,（Ｂ適性型）
茨城,（２回）
茨城,（２回Ｂ適性型）
茨城キリスト教学園,（１回単願）
茨城キリスト教学園,（１回一般Ａ）
茨城キリスト教学園,（２回一般Ｂ）
茨城キリスト教学園,（２回適性検査）
茨城キリスト教学園,（３回一般Ｃ）
茨城県立太田第一高附属,1
茨城県立鹿島高附属,1
茨城県立勝田中等教育学校,1
茨城県立古河中等教育学校,1
茨城県立下館第一高附属,1
茨城県立下妻第一高附属,1
茨城県立土浦第一高附属,1
茨城県立並木中等教育学校,1
茨城県立日立第一高附属,1
茨城県立鉾田第一高附属,1
茨城県立水海道第一高附属,1
茨城県立水戸第一高附属,1
茨城県立竜ヶ崎第一高附属,1
茨城大教育学部附属,1
上野学園,（１日午前）
上野学園,（適性検査型）
上野学園,（１日午後）
上野学園,（２日）
上野学園,（４日）
上野学園,（特待）
上野学園,（６日）
宇都宮大附属,1
宇都宮短大附属,1
宇都宮短大附属,（２回）
浦和実業学園,（１回特待）
浦和実業学園,（１回特待午後）
浦和実業学園,（２回特待）
浦和実業学園,（２回特待午後）
浦和実業学園,（３回）
浦和実業学園,（適性検査型）
浦和実業学園,（適性検査型２回）
浦和実業学園,（英語）
栄光学園,1
穎明館,1
穎明館,（２回）
穎明館,（３回）
穎明館,（４回）
江戸川学園取手,（１回難関大）
江戸川学園取手,（１回東大）
江戸川学園取手,（１回医科）
江戸川学園取手,（２回難関大）
江戸川学園取手,（２回東大）
江戸川学園取手,（２回医科）
江戸川学園取手,（３回難関大）
江戸川学園取手,（３回東大）
江戸川学園取手,（３回医科）
江戸川学園取手,（適性型）
桜美林,（１日午前）
桜美林,（１日午前総合学力評価）
桜美林,（１日午後）
桜美林,（１日午後総合学力評価）
桜美林,（２日午後）
桜美林,（３日午後）
大西学園,（Ａ）
大西学園,（Ｂ）
大西学園,（Ｃ）
大宮開成,1
大宮開成,（特待）
大宮開成,（２回）
沖縄尚学高附属,（東京）
お茶の水女子大附属,1
海城,1
海城,（２回）
海城,（帰国）
開成,1
開智,（先端１）
開智,（先端２）
開智,（先端特待）
開智,（先端Ａ）
開智,（算数特待）
開智日本橋学園,1
開智日本橋学園,（１回適性検査）
開智日本橋学園,（特待４科）
開智日本橋学園,（特待算数）
開智日本橋学園,（２回）
開智日本橋学園,（３回）
開智日本橋学園,（４回）
開智望,（専願）
開智望,1
開智望,（２回）
開智望,（適性検査型）
開智望,（開智併願型）
開智未来,1
開智未来,（２回）
開智未来,（Ｔ未来）
開智未来,（探究１）
開智未来,（探究２）
開智未来,（算数）
海陽,（特給・東京）
海陽,（特給・専願東京）
海陽,（Ⅰ・東京）
海陽,（Ⅰ・専願東京）
海陽,（Ⅱ・東京）
海陽,（Ⅱ・専願東京）
海陽,（Ⅲ・東京）
かえつ有明,（１日午前）
かえつ有明,（１日午後特待）
かえつ有明,（２日特待）
かえつ有明,（３日特待）
かえつ有明,（思考力特待）
かえつ有明,（ＡＬ思考力特待）
かえつ有明,（国際生Ｈ／Ａ選考）
学習院,（一般）
学習院,（一般２回）
学習院,（帰国）
鹿児島県立楠隼,（東京）
春日部共栄,（１回午前）
春日部共栄,（１回午後）
春日部共栄,（２回午前）
春日部共栄,（２回特待）
春日部共栄,（３回午後）
春日部共栄,（４回午前特待）
片山学園,（国内・関東）
片山学園,（国内・関東算数）
神奈川県立相模原,1
神奈川県立平塚,1
神奈川大附属,1
神奈川大附属,（２回）
神奈川大附属,（３回）
金沢学院大附属,（Ⅰ・東京）
金沢学院大附属,（Ⅱ・東京）
鎌倉学園,1
鎌倉学園,（算数選抜）
鎌倉学園,（２次）
鎌倉学園,（３次）
川口市立高附属,1
川崎市立川崎高附属,1
関東学院,（１期Ａ）
関東学院,（１期Ｂ）
関東学院,（１期Ｃ）
関東学院,（２期）
関東学院六浦,（Ａ１）
関東学院六浦,（Ａ２）
関東学院六浦,（Ｂ１）
関東学院六浦,（Ｂ２）
関東学院六浦,（Ｃ）
関東学院六浦,（英語）
関東学院六浦,（自己アピール）
共愛学園,1
共愛学園,（２回）
共栄学園,（１回進学）
共栄学園,（１回特進）
共栄学園,（２回特進）
共栄学園,（３回特進）
共栄学園,（４回進学）
共栄学園,（４回特進）
共栄学園,（５回進学）
共栄学園,（５回特進）
暁星,1
暁星,（２回）
暁星国際,（Ⅰ期Ａ）
暁星国際,（Ⅰ期Ａ２）
暁星国際,（Ⅰ期Ｂ）
暁星国際,（Ⅱ期）
暁星国際,（推薦）
桐生大附属,1
桐生大附属,（２期）
桐生大附属,（３期）
桐生大附属,（推薦）
桐生大附属,（推薦２期）
国立音楽大附属,（１回演奏・創作）
国立音楽大附属,（１回総合表現プレゼン）
国立音楽大附属,（２回総合表現二科）
国立音楽大附属,（３回演奏・創作）
国立音楽大附属,（３回総合表現二科）
公文国際学園,（Ａ・国算）
